SACC_code,Country,Year,NOM
9124,Nigeria,2023-24(e),2250.0
1504,Niue,2023-24(e),30.0
1102,Norfolk Island(f),2023-24(e),0.0
3206,Macedonia,2023-24(e),50.0
2406,Norway,2023-24(e),190.0
4202,Occ Palestinian T,2023-24(e),0.0
4211,Oman,2023-24(e),260.0
1302,PNG,2023-24(e),1830.0
7106,Pakistan,2023-24(e),14350.0
1407,Palau,2023-24(e),0.0
8308,Panama,2023-24(e),30.0
8212,Paraguay,2023-24(e),60.0
8213,Peru,2023-24(e),1360.0
5204,Philippines,2023-24(e),32570.0
1513,Pitcairn Is,2023-24(e),0.0
3307,Poland,2023-24(e),320.0
1599,"Polynesia, nec",2023-24(e),0.0
3106,Portugal,2023-24(e),200.0
8421,Puerto Rico,2023-24(e),0.0
4212,Qatar,2023-24(e),460.0
1606,Queen Maud Land,2023-24(e),0.0
9218,Reunion,2023-24(e),10.0
3211,Romania,2023-24(e),120.0
1607,Ross Dependency,2023-24(e),0.0
3308,Russia,2023-24(e),960.0
9221,Rwanda,2023-24(e),230.0
9299,"S & E Afr, nec",2023-24(e),0.0
8299,"S America, nec",2023-24(e),0.0
1505,Samoa,2023-24(e),1320.0
1506,Samoa American,2023-24(e),30.0
3107,San Marino,2023-24(e),0.0
9125,Sao Tome/Princ,2023-24(e),0.0
4213,Saudi Arabia,2023-24(e),1910.0
9126,Senegal,2023-24(e),0.0
3215,Serbia,2023-24(e),20.0
9223,Seychelles,2023-24(e),10.0
9127,Sierra Leone,2023-24(e),50.0
5205,Singapore,2023-24(e),2640.0
8435,Sint Maarten Dp,2023-24(e),0.0
3311,Slovakia,2023-24(e),40.0
3212,Slovenia,2023-24(e),10.0
1303,Solomon Islands,2023-24(e),860.0
9224,Somalia,2023-24(e),280.0
9225,South Africa,2023-24(e),9950.0
4111,S. Sudan,2023-24(e),70.0
4108,Sp North Africa,2023-24(e),0.0
3108,Spain,2023-24(e),1260.0
7107,Sri Lanka,2023-24(e),14560.0
8431,St Barthelemy,2023-24(e),0.0
9222,St Helena,2023-24(e),0.0
8422,St Kitts/Nevis,2023-24(e),0.0
8423,St Lucia,2023-24(e),0.0
8432,Saint Martin (French part),2023-24(e),0.0
8103,Saint Pierre and Miquelon,2023-24(e),0.0
8424,St Vinc/Grenad,2023-24(e),0.0
4105,Sudan,2023-24(e),200.0
8214,Suriname,2023-24(e),10.0
2407,Sweden,2023-24(e),260.0
2311,Switzerland,2023-24(e),150.0
4214,Syria,2023-24(e),2130.0
6105,Taiwan,2023-24(e),6180.0
7207,Tajikistan,2023-24(e),20.0
9227,Tanzania,2023-24(e),160.0
5104,Thailand,2023-24(e),4850.0
5206,Timor-Leste,2023-24(e),1390.0
9128,Togo,2023-24(e),0.0
1507,Tokelau,2023-24(e),10.0
1508,Tonga,2023-24(e),990.0
8425,Trinidad and Tobago,2023-24(e),40.0
4106,Tunisia,2023-24(e),50.0
7208,Turkmenistan,2023-24(e),20.0
8426,Turks and Caicos Islands,2023-24(e),0.0
1511,Tuvalu,2023-24(e),150.0
4215,Turkey,2023-24(e),2000.0
2100,United Kingdom,2023-24(e),21200.0
8104,United States of America,2023-24(e),3690.0
9228,Uganda,2023-24(e),390.0
3312,Ukraine,2023-24(e),380.0
4216,United Arab Emirates,2023-24(e),1810.0
8215,Uruguay,2023-24(e),200.0
7211,Uzbekistan,2023-24(e),190.0
1304,Vanuatu,2023-24(e),390.0
8216,Venezuela,2023-24(e),460.0
5105,Vietnam,2023-24(e),20660.0
8427,British Virgin Islands,2023-24(e),0.0
8428,United States Virgin Islands,2023-24(e),0.0
1512,Wallis/Futuna,2023-24(e),0.0
4107,W. Sahara,2023-24(e),0.0
4217,Yemen,2023-24(e),180.0
9231,Zambia,2023-24(e),580.0
9232,Zimbabwe,2023-24(e),2970.0
